iter	Accuracy	Logloss
0	0.7798161532	0.6484464801
1	0.7796775204	0.6140420718
2	0.779402438	0.5872675171
3	0.7793227514	0.5659164257
4	0.7793740565	0.5493825518
5	0.779627307	0.536282228
6	0.7799242213	0.5255497146
7	0.7801043348	0.5171630431
8	0.7803946996	0.510593096
9	0.7803564937	0.5053868606
10	0.7808029569	0.5010331966
11	0.7809153914	0.4975671032
12	0.7811053293	0.4947039807
13	0.7813269235	0.4922831256
14	0.7815485177	0.4903248347
15	0.7818115925	0.4885336264
16	0.7819076531	0.4870781523
17	0.7819884313	0.4859361713
18	0.7821041405	0.4850072564
19	0.7822296742	0.484142234
20	0.7824119709	0.4833253783
21	0.7825364129	0.4826950493
22	0.7826466642	0.4820622983
23	0.7827132517	0.481589398
24	0.7828333273	0.4811357712
25	0.7829468534	0.4807270705
26	0.7829850593	0.4803669117
27	0.7831018602	0.4800796511
28	0.7830964022	0.4797682731
29	0.7832339434	0.4795096669
30	0.7832983476	0.4792804657
31	0.7834446216	0.4790554943
32	0.783476278	0.4788807024
33	0.7834664536	0.4786999748
34	0.7834981099	0.4785192473
35	0.7836323763	0.4783326866
36	0.7836291015	0.4781481043
37	0.7837317117	0.477999613
38	0.7838550621	0.4778462437
39	0.7838943596	0.4776856766
40	0.7839412983	0.4775624967
41	0.7839860538	0.4774530641
42	0.7840482748	0.4773023213
43	0.7841028546	0.4771531819
44	0.784118137	0.4770354259
45	0.7841443353	0.4769334639
46	0.7842251135	0.4768346402
47	0.7842403959	0.4767567275
48	0.7843277236	0.4766783031
49	0.7843812119	0.4765991964
50	0.7843593799	0.4764872736
51	0.7843932194	0.4763950678
52	0.7843823035	0.4763042264
53	0.7844150514	0.4762414937
54	0.7844576237	0.4761571338
55	0.7845438598	0.476049782
56	0.7845580506	0.4759631706
57	0.7846148136	0.4758627096
58	0.7846268212	0.4757774968
59	0.7847119658	0.4757044962
60	0.7847851028	0.4756153605
61	0.7847894691	0.4755473745
62	0.7848691557	0.4754652318
63	0.7848942625	0.4754231712
64	0.7849139112	0.4753469641
65	0.784995781	0.475303846
66	0.7850350785	0.4752466736
67	0.7850318037	0.4751899788
68	0.78506346	0.4751261886
69	0.7850885667	0.4750708583
70	0.7851093071	0.4750060447
71	0.7850951163	0.4749408218
72	0.7850852919	0.4748935761
73	0.7850820171	0.4748521295
74	0.7851398718	0.4747877935
75	0.7852010012	0.4747411619
76	0.7851857189	0.4747053097
77	0.7851638869	0.4746657052
78	0.7852130088	0.4746197558
79	0.7852010012	0.4745800831
80	0.7852730466	0.4745170093
81	0.785271955	0.4744668299
82	0.7853800231	0.4744054617
83	0.7853789315	0.4743655843
84	0.7853876643	0.4743206924
85	0.7854094962	0.4742564587
86	0.7854280534	0.4741959092
87	0.785418229	0.4741348821
88	0.7854575265	0.4740857602
89	0.7854695341	0.4740316238
90	0.7854793584	0.4739946801
91	0.785485908	0.4739563036
92	0.785513198	0.4739037023
93	0.7855907013	0.4738482697
94	0.7855841518	0.4738290985
95	0.7855972509	0.4737857757
96	0.7856016173	0.4737383936
97	0.7856332736	0.4737009723
