iter	Passed	Remaining
0	172	128897
1	380	142126
2	568	141544
3	736	137421
4	905	134864
5	1120	138977
6	1345	142823
7	1596	148065
8	1824	150181
9	2022	149632
10	2237	150320
11	2463	151506
12	2680	151988
13	2903	152625
14	3104	152128
15	3305	151623
16	3539	152634
17	3765	153115
18	3979	153113
19	4218	153962
20	4419	153404
21	4649	153854
22	4840	152997
23	5043	152573
24	5247	152173
25	5439	151471
26	5646	151197
27	5901	152176
28	6120	152170
29	6365	152778
30	6555	152049
31	6792	152405
32	6977	151600
33	7249	152658
34	7432	151843
35	7621	151160
36	7836	151013
37	8010	150088
38	8199	149485
39	8457	150120
40	8708	150589
41	8922	150404
42	9143	150332
43	9353	150081
44	9569	149925
45	9795	149917
46	9984	149347
47	10165	148675
48	10341	147952
49	10559	147838
50	10777	147719
51	10980	147385
52	11200	147294
53	11431	147341
54	11647	147181
55	11837	146694
56	12015	146085
57	12292	146664
58	12479	146153
59	12687	145906
60	12913	145854
61	13145	145870
62	13358	145671
63	13552	145262
64	13729	144687
65	13973	144815
66	14156	144307
67	14375	144179
68	14563	143738
69	14743	143224
70	14927	142761
71	15148	142651
72	15330	142171
73	15565	142195
74	15763	141867
75	15957	141517
76	16153	141188
77	16337	140754
78	16536	140454
79	16773	140481
80	17002	140427
81	17187	140016
82	17407	139892
83	17660	140020
84	17839	139570
85	18024	139165
86	18211	138787
87	18400	138423
88	18603	138166
89	18827	138065
90	19083	138199
91	19340	138328
92	19540	138043
93	19755	137865
94	19926	137389
95	20107	136983
96	20297	136643
97	20504	136420
98	20714	136211
99	20907	135898
100	21126	135750
101	21326	135486
102	21533	135266
103	21739	135036
104	21962	134910
105	22224	135027
106	22493	135169
107	22662	134714
108	22885	134582
109	23072	134238
110	23284	134043
111	23545	134125
112	23766	133977
113	23982	133795
114	24180	133518
115	24419	133466
116	24603	133113
117	24813	132898
118	25016	132648
119	25210	132352
120	25429	132192
121	25619	131876
122	25882	131936
123	26072	131622
124	26298	131493
125	26502	131250
126	26712	131038
127	26909	130761
128	27127	130588
129	27337	130378
130	27579	130317
131	27805	130179
132	28001	129899
133	28217	129717
134	28419	129466
135	28623	129227
136	28816	128940
137	29027	128732
138	29221	128447
139	29495	128515
140	29680	128196
141	29873	127909
142	30061	127602
143	30257	127335
144	30431	126974
145	30609	126632
146	30805	126366
147	30998	126086
148	31177	125754
149	31366	125464
150	31545	125138
151	31723	124808
152	31944	124644
153	32202	124626
154	32370	124262
155	32597	124122
156	32791	123856
157	32978	123563
158	33170	123294
159	33361	123019
160	33568	122805
161	33821	122757
162	34033	122564
163	34220	122274
164	34390	121928
165	34562	121594
166	34744	121292
167	34933	121018
168	35132	120781
169	35313	120482
170	35500	120202
171	35700	119970
172	35917	119792
173	36136	119623
174	36322	119344
175	36512	119081
176	36693	118787
177	36907	118601
178	37110	118379
179	37332	118218
180	37510	117920
181	37701	117662
182	37913	117469
183	38105	117214
184	38295	116956
185	38488	116707
186	38707	116535
187	38895	116271
188	39103	116069
189	39284	115786
190	39483	115555
191	39688	115343
192	39878	115090
193	40076	114857
194	40252	114566
195	40438	114299
196	40648	114105
197	40838	113851
198	41036	113622
199	41227	113375
200	41454	113226
201	41674	113057
202	41860	112796
203	42039	112517
204	42235	112283
205	42412	112001
206	42641	111857
207	42821	111583
208	42998	111301
209	43167	111002
210	43361	110767
211	43541	110495
212	43735	110261
213	43915	109992
214	44090	109713
215	44282	109475
216	44460	109203
217	44646	108955
218	44839	108719
219	45022	108464
220	45193	108179
221	45403	107986
222	45620	107812
223	45890	107761
224	46130	107637
225	46354	107477
226	46538	107223
227	46720	106965
228	46904	106712
229	47097	106481
230	47288	106244
231	47561	106193
232	47764	105983
233	47949	105735
234	48159	105541
235	48360	105326
236	48565	105122
237	48770	104919
238	48964	104689
239	49231	104617
240	49443	104425
241	49631	104185
242	49810	103926
243	50034	103759
244	50233	103542
245	50421	103303
246	50636	103118
247	50835	102900
248	51007	102629
249	51218	102436
250	51415	102215
251	51662	102095
252	51842	101841
253	52019	101581
254	52220	101368
255	52412	101140
256	52590	100883
257	52782	100654
258	52977	100432
259	53161	100189
260	53433	100110
261	53618	99869
262	53799	99621
263	53996	99403
264	54198	99194
265	54378	98943
266	54562	98702
267	54741	98452
268	54917	98197
269	55123	97996
270	55301	97747
271	55477	97493
272	55691	97306
273	55892	97097
274	56085	96875
275	56307	96701
276	56501	96480
277	56720	96302
278	56922	96094
279	57134	95904
280	57336	95696
281	57528	95473
282	57724	95255
283	57927	95050
284	58101	94797
285	58271	94539
286	58470	94327
287	58652	94088
288	58837	93855
289	59028	93631
290	59205	93386
291	59422	93203
292	59637	93018
293	59842	92817
294	60009	92557
295	60198	92331
296	60367	92075
297	60542	91829
298	60711	91574
299	60943	91414
300	61126	91181
301	61328	90976
302	61518	90754
303	61740	90579
304	61926	90352
305	62158	90190
306	62396	90037
307	62585	89814
308	62794	89619
309	62979	89390
310	63173	89173
311	63363	88952
312	63587	88778
313	63805	88595
314	63989	88366
315	64181	88147
316	64357	87907
317	64539	87676
318	64722	87446
319	64900	87210
320	65082	86980
321	65296	86791
322	65478	86560
323	65724	86415
324	65903	86181
325	66091	85959
326	66282	85741
327	66463	85510
328	66642	85277
329	66931	85185
330	67116	84960
331	67310	84746
332	67537	84574
333	67710	84334
334	67944	84170
335	68130	83945
336	68325	83734
337	68520	83521
338	68742	83343
339	68929	83120
340	69122	82905
341	69300	82674
342	69500	82469
343	69685	82244
344	69873	82025
345	70072	81818
346	70277	81618
347	70483	81420
348	70734	81273
349	70935	81069
350	71144	80873
351	71398	80729
352	71588	80511
353	71793	80311
354	71976	80086
355	72162	79865
356	72365	79662
357	72576	79469
358	72795	79284
359	73008	79092
360	73196	78873
361	73395	78667
362	73590	78456
363	73768	78227
364	73953	78006
365	74160	77807
366	74356	77597
367	74537	77372
368	74725	77155
369	74925	76950
370	75107	76726
371	75322	76536
372	75563	76373
373	75755	76160
374	75928	75928
375	76118	75713
376	76347	75537
377	76537	75322
378	76745	75126
379	76972	74947
380	77208	74776
381	77389	74553
382	77560	74320
383	77752	74107
384	77974	73924
385	78156	73701
386	78328	73471
387	78567	73302
388	78778	73108
389	78963	72888
390	79168	72689
391	79381	72496
392	79601	72309
393	79793	72097
394	79985	71885
395	80182	71678
396	80411	71499
397	80597	71282
398	80794	71074
399	80992	70868
400	81239	70704
401	81461	70518
402	81637	70293
403	81864	70111
404	82071	69913
405	82309	69739
406	82540	69560
407	82717	69336
408	82928	69140
409	83129	68936
410	83303	68709
411	83496	68499
412	83699	68297
413	83910	68101
414	84140	67920
415	84392	67757
416	84569	67534
417	84792	67347
418	84996	67145
419	85180	66927
420	85384	66725
421	85629	66555
422	85842	66360
423	86017	66136
424	86210	65925
425	86428	65734
426	86629	65530
427	86876	65360
428	87090	65165
429	87359	65011
430	87559	64806
431	87769	64608
432	87952	64389
433	88138	64174
434	88347	63975
435	88557	63777
436	88771	63582
437	88947	63359
438	89179	63177
439	89377	62970
440	89577	62765
441	89796	62573
442	90027	62389
443	90263	62208
444	90479	62014
445	90750	61856
446	90933	61639
447	91148	61443
448	91396	61270
449	91618	61078
450	91817	60872
451	92027	60673
452	92196	60446
453	92398	60242
454	92577	60022
455	92760	59806
456	92944	59590
457	93147	59386
458	93337	59174
459	93526	58962
460	93739	58764
461	93924	58550
462	94149	58360
463	94360	58162
464	94566	57959
465	94762	57752
466	94945	57536
467	95156	57337
468	95383	57148
469	95565	56932
470	95759	56723
471	95987	56535
472	96171	56320
473	96363	56110
474	96551	55898
475	96762	55699
476	96942	55482
477	97156	55285
478	97358	55081
479	97568	54882
480	97760	54672
481	97947	54460
482	98147	54255
483	98351	54052
484	98536	53839
485	98726	53628
486	98960	53442
487	99203	53261
488	99386	53046
489	99622	52860
490	99811	52649
491	100029	52454
492	100209	52239
493	100383	52020
494	100567	51807
495	100745	51591
496	100917	51372
497	101131	51174
498	101398	51004
499	101638	50819
500	101845	50617
501	102036	50408
502	102249	50209
503	102424	49992
504	102624	49788
505	102810	49576
506	103004	49369
507	103208	49166
508	103471	48991
509	103702	48801
510	103920	48604
511	104108	48394
512	104296	48183
513	104481	47971
514	104690	47771
515	104864	47555
516	105038	47338
517	105211	47121
518	105403	46913
519	105577	46697
520	105803	46504
521	106000	46298
522	106176	46084
523	106450	45911
524	106630	45698
525	106842	45499
526	107042	45294
527	107236	45088
528	107445	44887
529	107623	44674
530	107847	44479
531	108062	44281
532	108243	44069
533	108414	43852
534	108600	43643
535	108789	43434
536	108979	43226
537	109164	43016
538	109387	42821
539	109610	42626
540	109836	42432
541	110017	42220
542	110227	42020
543	110469	41832
544	110724	41648
545	110949	41453
546	111163	41254
547	111373	41053
548	111577	40850
549	111786	40649
550	112053	40469
551	112275	40272
552	112529	40087
553	112792	39904
554	112989	39698
555	113186	39492
556	113417	39299
557	113641	39102
558	113876	38909
559	114060	38699
560	114244	38488
561	114445	38284
562	114677	38090
563	114878	37885
564	115053	37672
565	115235	37461
566	115403	37246
567	115598	37040
568	115791	36833
569	116022	36638
570	116213	36431
571	116404	36223
572	116610	36020
573	116801	35813
574	117011	35612
575	117258	35421
576	117468	35220
577	117664	35014
578	117858	34808
579	118080	34609
580	118321	34417
581	118549	34220
582	118720	34007
583	118928	33804
584	119169	33611
585	119354	33403
586	119571	33202
587	119793	33004
588	119990	32798
589	120193	32594
590	120385	32387
591	120555	32175
592	120797	31981
593	121016	31782
