iter	Accuracy	Logloss
0	0.793057061	0.6456776395
1	0.7930736233	0.6083933642
2	0.7930533805	0.5792091154
3	0.7930699428	0.5567904158
4	0.7930736233	0.5391437447
5	0.7931233104	0.525168683
6	0.7931104286	0.5143201107
7	0.7931049078	0.5056261973
8	0.793774763	0.4982037897
9	0.7940600036	0.4925719565
10	0.794280835	0.4880428427
11	0.7946176028	0.4843677252
12	0.7946323249	0.4813492649
13	0.7950077383	0.4786638344
14	0.7951862437	0.4765807445
15	0.7954641232	0.4748284416
16	0.7955101297	0.4732474844
17	0.7956904754	0.4719571734
18	0.7957199195	0.4708625628
19	0.7957824884	0.4700626529
20	0.7958303352	0.4692973628
21	0.7958837028	0.4686809327
22	0.7960622082	0.4680545536
23	0.7960971732	0.4675121078
24	0.7963235254	0.4670938221
25	0.7962259915	0.4666289547
26	0.7962167902	0.4662887364
27	0.7962738383	0.4659545276
28	0.7963824137	0.4656172709
29	0.7965682801	0.4652784902
30	0.796623488	0.4650680103
31	0.796623488	0.4648252108
32	0.7967191816	0.4645959545
33	0.7968406389	0.4644329475
34	0.796862722	0.4642485476
35	0.7969418533	0.4640499718
36	0.7969768182	0.4638626102
37	0.7970504287	0.4636354242
38	0.7970964352	0.4634812447
39	0.7971406015	0.4633562795
40	0.7971534833	0.4632070458
41	0.7972326146	0.4630571507
42	0.7973154264	0.4629164282
43	0.7972841419	0.4627942233
44	0.797376155	0.4626815648
45	0.7974000784	0.4625440053
46	0.7974405642	0.462399976
47	0.7974387239	0.4623139726
48	0.7975104941	0.4622481544
49	0.7975436188	0.4621417643
50	0.7975583409	0.4620532305
51	0.7975417785	0.4619814028
52	0.7975472993	0.4618946517
53	0.7975767435	0.4618130476
54	0.7976779579	0.4617041846
55	0.7977626099	0.4616301716
56	0.7977754918	0.4615485387
57	0.7978086165	0.4614754171
58	0.7978141373	0.4614048258
59	0.7978380607	0.4613402154
60	0.7978251788	0.4612457294
61	0.7978859075	0.4611483106
62	0.7979227127	0.4610767417
63	0.7979043101	0.4610060354
64	0.7979208724	0.4609284568
65	0.7979834413	0.4608599071
66	0.7979631984	0.4608211466
67	0.7980257673	0.4607678365
68	0.7980331284	0.4607280408
69	0.7980128855	0.4606551492
70	0.7980368089	0.460604542
71	0.7980460102	0.4605350722
72	0.7980680934	0.4604904746
73	0.7981122596	0.4604338003
74	0.7981490649	0.4603601323
75	0.7981987519	0.4603003813
76	0.7982171546	0.4602485377
77	0.7982318766	0.4601993682
78	0.7983073274	0.4601316811
79	0.7983349313	0.460081764
80	0.7982852442	0.4600270449
81	0.7983275702	0.4599676965
82	0.7983275702	0.459914789
83	0.7983496534	0.4598692138
84	0.7982981261	0.459805811
85	0.798360695	0.4597769419
86	0.7983698963	0.4597219066
87	0.798360695	0.4596748649
88	0.7983790976	0.4596215548
89	0.7984067015	0.4595578357
90	0.7983809378	0.4595226407
91	0.7983827781	0.4594878195
92	0.7984048612	0.459448599
93	0.7984195833	0.4593907745
94	0.798410382	0.4593480459
95	0.7984269444	0.4593117295
96	0.7984416665	0.4592706974
97	0.7984839925	0.4592326558
98	0.798487673	0.4591882595
99	0.798522638	0.4591513967
100	0.7985557627	0.4590879364
101	0.7985907277	0.459039342
102	0.7986183316	0.4590073962
103	0.7985870471	0.4589456612
104	0.7986109705	0.4588949965
105	0.7986404147	0.4588379196
106	0.7986569771	0.4587849546
107	0.798691942	0.4587436062
108	0.7987011434	0.4587104815
109	0.798684581	0.4586701683
110	0.7986735394	0.4586388839
111	0.798691942	0.458592446
112	0.7986993031	0.4585701041
113	0.7987250668	0.4585230911
114	0.798719546	0.4584915767
