iter	Passed	Remaining
0	86	43319
1	165	41305
2	264	43873
3	356	44231
4	427	42355
5	520	42873
6	617	43511
7	717	44120
8	801	43717
9	886	43438
10	966	42950
11	1062	43202
12	1160	43489
13	1255	43597
14	1339	43305
15	1419	42939
16	1496	42514
17	1581	42345
18	1676	42436
19	1758	42212
20	1849	42179
21	1932	41982
22	2013	41762
23	2092	41501
24	2193	41669
25	2294	41824
26	2377	41650
27	2464	41548
28	2545	41342
29	2625	41138
30	2713	41050
31	2793	40852
32	2875	40690
33	2959	40566
34	3037	40352
35	3133	40383
36	3210	40172
37	3289	39998
38	3374	39887
39	3457	39765
40	3576	40035
41	3684	40173
42	3766	40034
43	3857	39976
44	3957	40011
45	4031	39790
46	4106	39579
47	4199	39545
48	4277	39369
49	4382	39440
50	4474	39395
51	4550	39201
52	4642	39151
53	4756	39289
54	4836	39130
55	4920	39015
56	4994	38819
57	5077	38697
58	5175	38684
59	5279	38719
60	5362	38591
61	5438	38421
62	5553	38520
63	5661	38567
64	5751	38489
65	5868	38587
66	5973	38606
67	6080	38626
68	6179	38602
69	6253	38414
70	6327	38234
71	6425	38197
72	6506	38056
73	6596	37973
74	6668	37789
75	6761	37721
76	6849	37625
77	6922	37453
78	6995	37277
79	7089	37220
80	7166	37069
81	7241	36913
82	7366	37009
83	7449	36894
84	7529	36759
85	7623	36698
86	7712	36614
87	7814	36585
88	7893	36453
89	7978	36344
90	8072	36282
91	8184	36297
92	8257	36136
93	8348	36056
94	8423	35911
95	8500	35774
96	8589	35685
97	8703	35701
98	8808	35678
99	8886	35546
100	8965	35419
101	9060	35354
102	9164	35324
103	9255	35242
104	9334	35115
105	9417	35003
106	9517	34956
107	9599	34844
108	9702	34805
109	9814	34797
110	9916	34752
111	9993	34619
112	10078	34517
113	10166	34423
114	10260	34350
115	10338	34222
116	10423	34122
117	10499	33989
118	10606	33959
119	10688	33847
120	10760	33705
121	10835	33571
122	10918	33465
123	11001	33360
124	11095	33287
125	11195	33231
126	11268	33095
127	11365	33030
128	11450	32932
129	11579	32958
130	11667	32864
131	11745	32745
132	11817	32608
133	11896	32494
134	11975	32376
135	12050	32252
136	12125	32129
137	12208	32023
138	12292	31926
139	12389	31859
140	12464	31736
141	12556	31657
142	12635	31545
143	12722	31453
144	12796	31329
145	12888	31249
146	12963	31128
147	13041	31016
148	13152	30982
149	13231	30873
150	13330	30809
151	13403	30687
152	13484	30582
153	13562	30471
154	13633	30344
155	13709	30231
156	13783	30112
157	13862	30005
158	13940	29897
159	14019	29791
160	14094	29676
161	14180	29586
162	14276	29517
163	14372	29445
164	14456	29351
165	14551	29278
166	14631	29175
167	14708	29067
168	14809	29006
169	14883	28891
170	14994	28848
171	15067	28733
172	15142	28621
173	15220	28516
174	15312	28438
175	15383	28319
176	15460	28214
177	15536	28105
178	15613	27998
179	15708	27926
180	15813	27870
181	15885	27755
182	15961	27648
183	16041	27549
184	16136	27475
185	16231	27400
186	16334	27340
187	16414	27240
188	16502	27154
189	16599	27082
190	16698	27014
191	16779	26917
192	16864	26826
193	16943	26725
194	17025	26629
195	17105	26530
196	17183	26429
197	17262	26329
198	17337	26224
199	17411	26117
200	17485	26011
201	17574	25927
202	17647	25819
203	17723	25716
204	17799	25614
205	17872	25508
206	17948	25404
207	18025	25304
208	18095	25195
209	18168	25090
210	18243	24987
211	18319	24887
212	18395	24786
213	18477	24693
214	18549	24588
215	18648	24519
216	18727	24422
217	18813	24337
218	18890	24238
219	18975	24150
220	19078	24085
221	19154	23986
222	19226	23882
223	19302	23783
224	19375	23681
225	19444	23574
226	19543	23503
227	19616	23401
228	19692	23304
229	19790	23232
230	19865	23133
231	19939	23033
232	20019	22940
233	20096	22844
234	20168	22743
235	20242	22643
236	20346	22578
237	20416	22474
238	20478	22363
239	20559	22273
240	20646	22189
241	20720	22090
242	20790	21988
243	20862	21888
244	20968	21824
245	21065	21750
246	21166	21680
247	21238	21580
248	21317	21488
249	21391	21391
250	21479	21308
251	21555	21213
252	21657	21144
253	21730	21045
254	21807	20951
255	21898	20872
256	21989	20791
257	22071	20702
258	22146	20606
259	22227	20517
260	22300	20420
261	22375	20325
262	22483	20261
263	22557	20165
264	22629	20067
265	22704	19972
266	22793	19890
267	22868	19796
268	22984	19737
269	23062	19645
270	23148	19561
271	23221	19465
272	23301	19375
273	23380	19284
274	23458	19193
275	23531	19098
276	23605	19003
277	23682	18911
278	23790	18845
279	23873	18757
280	23974	18684
281	24051	18593
282	24121	18496
283	24206	18410
284	24308	18337
285	24385	18246
286	24462	18155
287	24535	18060
288	24612	17969
289	24699	17885
290	24797	17810
291	24875	17719
292	24951	17627
293	25024	17534
294	25097	17440
295	25176	17351
296	25250	17258
297	25346	17181
298	25418	17087
299	25496	16997
300	25567	16903
301	25670	16830
302	25746	16739
303	25821	16648
304	25932	16579
305	25996	16481
306	26067	16388
307	26144	16297
308	26220	16207
309	26294	16115
310	26387	16035
311	26481	15957
312	26550	15862
313	26641	15781
314	26717	15691
315	26824	15619
316	26924	15543
317	27008	15457
318	27111	15382
319	27189	15294
320	27261	15201
321	27335	15110
322	27428	15030
323	27497	14937
324	27578	14849
325	27663	14765
326	27752	14682
327	27862	14610
328	27948	14526
329	28015	14432
330	28113	14354
331	28190	14265
332	28286	14185
333	28386	14108
334	28456	14015
335	28535	13927
336	28613	13839
337	28683	13747
338	28756	13657
339	28831	13567
340	28933	13491
341	29014	13404
342	29096	13318
343	29168	13227
344	29265	13148
345	29367	13071
346	29438	12980
347	29514	12891
348	29644	12826
349	29738	12745
350	29824	12660
351	29908	12574
352	29992	12489
353	30070	12401
354	30153	12316
355	30227	12226
356	30319	12144
357	30402	12058
358	30474	11969
359	30544	11878
360	30669	11808
361	30742	11719
362	30844	11641
363	30944	11561
364	31020	11473
365	31106	11388
366	31212	11311
367	31307	11230
368	31380	11140
