iter	Passed	Remaining
0	1472	1471518
1	2688	1341447
2	4056	1348101
3	5231	1302745
4	6529	1299411
5	7626	1263382
6	8795	1247639
7	9991	1238953
8	11193	1232542
9	12461	1233662
10	13682	1230148
11	14947	1230690
12	16116	1223606
13	17308	1219035
14	18534	1217080
15	19775	1216169
16	21022	1215599
17	22275	1215277
18	23498	1213278
19	24761	1213296
20	26091	1216341
21	27356	1216101
22	28609	1215270
23	29883	1215256
24	31155	1215063
25	32399	1213734
26	33670	1213382
27	34929	1212543
28	36196	1211962
29	37512	1212911
30	38787	1212424
31	40067	1212039
32	41377	1212480
33	42734	1214154
34	44067	1215003
35	45370	1214917
36	46632	1213703
37	47835	1210999
38	49087	1209557
39	50409	1209835
40	51747	1210398
41	53007	1209079
42	54323	1209015
43	55597	1207974
44	56830	1206076
45	58104	1205034
46	59471	1205881
47	60784	1205567
48	62129	1205816
49	63376	1204149
50	64730	1204488
51	65987	1203010
52	67268	1201956
53	68564	1201153
54	69833	1199869
55	71157	1199504
56	72427	1198232
57	73709	1197145
58	74929	1195065
59	76188	1193626
60	77406	1191555
61	78670	1190215
62	79954	1189164
63	81290	1188871
64	82544	1187369
65	83882	1187069
66	85083	1184815
67	86462	1185048
68	87782	1184433
69	89107	1183856
70	90399	1182837
71	91695	1181851
72	92915	1179902
73	94197	1178738
74	95466	1177415
75	96803	1176930
76	98096	1175882
77	99430	1175318
78	100720	1174227
79	101940	1172312
80	103242	1171360
81	104528	1170213
82	105733	1168161
83	106954	1166314
84	108260	1165388
85	109543	1164219
86	110790	1162659
87	112054	1161290
88	113418	1160948
89	114673	1159476
90	115884	1157568
91	117138	1156106
92	118409	1154811
93	119697	1153677
94	120898	1151712
95	122192	1150648
96	123491	1149612
97	124708	1147831
98	125968	1146436
99	127179	1144618
100	128433	1143180
101	129694	1141824
102	130970	1140586
103	132252	1139405
104	133528	1138173
105	134781	1136740
106	136103	1135888
107	137385	1134700
108	138690	1133697
109	139985	1132610
110	141289	1131588
111	142574	1130410
112	143867	1129297
113	145201	1128496
114	146461	1127113
115	147699	1125570
116	149010	1124583
117	150251	1123066
118	151539	1121899
119	152789	1120452
120	154174	1119993
121	155411	1118455
122	156661	1117011
123	157936	1115748
124	159121	1113853
125	160356	1112311
126	161655	1111220
127	162959	1110164
128	164327	1109528
129	165576	1108086
130	166985	1107713
131	168208	1106099
132	169507	1104987
133	170775	1103671
134	172086	1102627
135	173331	1101164
136	174675	1100327
137	176014	1099450
138	177332	1098439
139	178546	1096784
140	179852	1095694
141	181103	1094276
142	182442	1093376
143	183763	1092373
144	185073	1091292
145	186315	1089819
146	187676	1089035
147	188931	1087632
148	190200	1086313
149	191391	1084550
150	192697	1083444
151	193975	1082181
152	195219	1080726
153	196503	1079495
154	197664	1077591
155	199050	1076912
156	200398	1076023
157	201647	1074602
158	202965	1073549
159	204293	1072541
160	205646	1071661
161	206841	1069955
162	208193	1069067
163	209480	1067840
164	210783	1066689
165	212000	1065109
166	213393	1064411
167	214656	1063059
168	215949	1061859
169	217314	1061008
170	218650	1060005
171	219861	1058404
172	221123	1057047
173	222414	1055829
174	223700	1054586
175	224979	1053313
176	226316	1052305
177	227565	1050892
178	228838	1049588
179	230057	1048040
180	231302	1046612
181	232522	1045075
182	233777	1043696
183	235039	1042348
184	236326	1041114
185	237563	1039658
186	238835	1038361
187	240124	1037133
188	241408	1035884
189	242668	1034533
190	243896	1033049
191	245151	1031677
192	246414	1030344
193	247615	1028751
194	248892	1027478
195	250125	1026024
196	251455	1024967
197	252770	1023846
198	253981	1022306
199	255302	1021208
200	256585	1019957
201	257778	1018352
202	259056	1017085
203	260339	1015834
204	261616	1014559
205	262885	1013259
206	264203	1012140
207	265538	1011088
208	266815	1009812
209	268031	1008309
210	269316	1007063
211	270616	1005874
212	271894	1004605
213	273184	1003377
214	274442	1002032
215	275798	1001047
216	277096	999845
217	278361	998524
218	279682	997407
219	281002	996282
220	282286	995027
221	283586	993831
222	284945	992838
223	286358	992026
224	287633	990737
225	288859	989278
226	290129	987975
227	291445	986825
228	292702	985475
229	293969	984158
230	295201	982725
231	296456	981373
232	297740	980116
233	299025	978862
234	300316	977626
235	301572	976275
236	302939	975285
237	304225	974031
238	305402	972432
239	306745	971359
240	308081	970264
241	309306	968819
242	310558	967460
243	311896	966367
244	313269	965382
245	314518	964012
246	315825	962819
247	317049	961376
248	318349	960162
249	319591	958774
250	320904	957598
251	322208	956398
252	323494	955140
253	324835	954043
254	326128	952806
255	327395	951494
256	328680	950230
257	329984	949024
258	331321	947913
259	332682	946864
260	334022	945757
261	335304	944482
262	336555	943123
263	337805	941761
264	339037	940349
265	340296	939014
266	341552	937671
267	342736	936130
268	344039	934917
269	345321	933647
270	346620	932421
271	347975	931346
272	349302	930194
273	350581	928914
274	351911	927766
275	353196	926501
276	354469	925202
277	355747	923919
278	357053	922708
279	358366	921512
280	359643	920227
281	361021	919197
282	362283	917870
283	363579	916629
284	364833	915282
285	366165	914134
286	367422	912796
287	368710	911533
288	370041	910379
289	371325	909106
290	372567	907733
291	373799	906335
292	375080	905058
293	376406	903887
294	377716	902679
295	378968	901330
296	380281	900127
297	381518	898745
298	382743	897334
299	384014	896034
300	385337	894854
301	386708	893783
302	387999	892526
303	389327	891354
304	390645	890160
305	391927	888880
306	393216	887618
307	394565	886491
308	395811	885132
309	397122	883916
310	398410	882651
311	399659	881301
312	401012	880177
313	402290	878888
314	403538	877536
315	404857	876338
316	406132	875042
317	407491	873928
318	408772	872645
319	410089	871441
320	411400	870221
321	412683	868942
322	413977	867686
323	415325	866542
324	416592	865230
325	417867	863934
326	419128	862609
327	420438	861386
328	421680	860023
329	422993	858804
330	424406	857789
331	425679	856487
332	426958	855199
333	428256	853949
334	429576	852740
335	430936	851612
336	432228	850347
337	433483	849012
338	434799	847795
339	436101	846550
340	437304	845114
341	438628	843911
342	440009	842817
343	441361	841665
344	442677	840446
345	444006	839248
346	445289	837964
347	446604	836741
348	447830	835352
349	449075	833998
350	450398	832788
351	451643	831434
352	453062	830401
353	454340	829107
354	455669	827906
355	456968	826650
356	458233	825332
