iter	Accuracy	Logloss
0	0.7770650442	0.6500467996
1	0.7777641257	0.6165179883
2	0.7776751517	0.5896240072
3	0.7784194263	0.5683164548
4	0.7785295846	0.5514384483
5	0.7787753223	0.5386239411
6	0.7789080771	0.5282303124
7	0.7789151386	0.5201310301
8	0.7790860251	0.5132177148
9	0.7792258414	0.5077884029
10	0.7793882543	0.5034277941
11	0.7794080263	0.4998827803
12	0.7797159046	0.4969529052
13	0.7798500717	0.4944838766
14	0.7800958095	0.4924213216
15	0.780118406	0.4906929045
16	0.7805675129	0.4892976544
17	0.7808132506	0.488049591
18	0.7807143906	0.4870466033
19	0.7810476901	0.4861381064
20	0.7810702866	0.4854802901
21	0.7811070061	0.4847745445
22	0.7811649098	0.4841809431
23	0.7812651821	0.4835939177
24	0.7813386209	0.4831736744
25	0.7815490515	0.4827610663
26	0.7816620344	0.482369819
27	0.7817425347	0.4820387263
28	0.7817933769	0.4817574608
29	0.7819091844	0.4814625578
30	0.7819614389	0.4812300603
31	0.7821167904	0.4809983572
32	0.7821436238	0.4807678898
33	0.7822156504	0.480585749
34	0.782208589	0.4803666682
35	0.782258019	0.4802005922
36	0.7823116858	0.480032442
37	0.7823907738	0.479860761
38	0.7824910461	0.4797141922
39	0.782544713	0.4795587084
40	0.7825574235	0.4794411797
41	0.782584257	0.4793165014
42	0.7826760555	0.479158193
43	0.782762205	0.4790163465
44	0.7828384684	0.4789012011
45	0.7828299947	0.4788040182
46	0.7829387407	0.478680399
47	0.7829627496	0.4785598251
48	0.7830135918	0.4784402222
49	0.783068671	0.4783413622
50	0.7831068027	0.4782690267
51	0.7831039781	0.4781524248
52	0.7831915398	0.4780628329
53	0.7831717678	0.4779961907
54	0.7832296716	0.4778927849
55	0.7832452067	0.4778028841
56	0.7833129964	0.4777399932
57	0.7833638387	0.4776551237
58	0.7833666633	0.4775925859
59	0.7834090318	0.4775220599
60	0.7835206024	0.4774102245
61	0.7836053396	0.4773066863
62	0.7836194624	0.4772575211
63	0.7836745416	0.4771868627
64	0.783661831	0.4771213238
65	0.7836660679	0.4770812061
66	0.7836773661	0.4770316878
67	0.7837366821	0.4769670316
68	0.7837380944	0.4769199848
69	0.7837719893	0.4768619928
70	0.783790349	0.4767927467
71	0.7838115333	0.4767401832
72	0.7838510773	0.4766661265
73	0.7839033319	0.4766160345
74	0.7839273407	0.4765621469
75	0.783948525	0.4765016834
76	0.7840007796	0.4764270971
77	0.784057271	0.4763819922
78	0.7840784553	0.476338741
79	0.7840304376	0.4763005651
80	0.7840713939	0.4762338788
81	0.784057271	0.476185199
82	0.7840502096	0.476130826
83	0.7840417359	0.4760733637
84	0.7840487973	0.4760269789
85	0.7840756307	0.4759876114
86	0.7840629202	0.4759379166
87	0.7841335344	0.475889943
88	0.7841688416	0.4758385711
89	0.7842069733	0.4757591301
90	0.7842168593	0.4757168056
91	0.7842281576	0.475682999
92	0.7842902982	0.4756355992
93	0.7842761753	0.4755944222
94	0.784274763	0.4755502442
95	0.7843030087	0.475505713
96	0.7842959473	0.4754755254
97	0.7843256053	0.475441454
98	0.7843369036	0.4754089715
99	0.784343965	0.4753677063
100	0.7843693862	0.4753158489
101	0.784403281	0.4752883534
102	0.7844061056	0.475255253
103	0.7844738953	0.4752404681
104	0.7844837813	0.4752099275
105	0.7844993165	0.475145845
106	0.7845543956	0.4751064775
107	0.7845671062	0.4750485738
108	0.7845572202	0.4749984377
109	0.7846094747	0.4749581434
110	0.7846391327	0.4749174078
111	0.784620773	0.4748766721
112	0.7846433696	0.4748569443
113	0.7846673785	0.4748399527
114	0.7846744399	0.4748076025
115	0.7847182207	0.4747670876
116	0.7847012733	0.4747474921
117	0.784699861	0.474719776
118	0.7847153962	0.4746803203
119	0.7847210453	0.4746404232
120	0.7847182207	0.47460313
121	0.7847182207	0.4745765614
122	0.7847817736	0.4745501693
123	0.7847944842	0.4745183929
124	0.7848297913	0.4744861751
125	0.7848707476	0.4744570467
126	0.7848905196	0.4744187385
127	0.7849131162	0.4743871386
128	0.784917353	0.4743702353
129	0.7849159408	0.4743421661
130	0.7849131162	0.4743175394
131	0.7849484233	0.4742715077
132	0.784956897	0.4742390251
133	0.7849738445	0.4742067191
134	0.785035985	0.4741646595
135	0.7850373973	0.4741341188
136	0.7850148008	0.4741001357
137	0.7849837305	0.4740609006
138	0.7850642308	0.4740164136
139	0.7850331605	0.4739786791
140	0.7850741168	0.4739521987
141	0.7850896519	0.4739111983
142	0.7851023625	0.4738695359
143	0.7851122485	0.4738438941
144	0.7851433188	0.4738146333
145	0.7851630908	0.4737750451
146	0.7851532048	0.4737490061
147	0.7851772136	0.4737180241
148	0.7851885119	0.473676141
149	0.7851998102	0.473628697
150	0.7852068716	0.4735952435
151	0.7852563016	0.4735514626
152	0.7852520648	0.4735120069
153	0.7852817228	0.4734808925
154	0.7852958456	0.4734545887
155	0.7853368019	0.4734216647
156	0.7853975302	0.4733950961
157	0.7854130653	0.473371661
158	0.7853706968	0.473330131
159	0.7854540216	0.473296192
