iter	RMSE	PrecisionAt:top=10	RecallAt:top=10	MAP:top=10
0	0.5684881323	0.4999979691	1	0.4999979691
1	0.5549466809	0.4999979691	1	0.4999979691
2	0.5418667929	0.4999979691	1	0.4999979691
3	0.5293027856	0.4999979691	1	0.4999979691
4	0.5171939879	0.4999979691	1	0.4999979691
5	0.5055062812	0.4999979691	1	0.4999979691
6	0.4942398088	0.4999979691	1	0.4999979691
7	0.4833988187	0.4999979691	1	0.4999979691
8	0.4729796509	0.4999979691	1	0.4999979691
9	0.4629641297	0.4999979691	1	0.4999979691
10	0.4533280995	0.4999979691	1	0.4999979691
11	0.4440748006	0.4999979691	1	0.4999979691
12	0.4352211167	0.4999979691	1	0.4999979691
13	0.4267473934	0.4999979691	1	0.4999979691
14	0.4185591634	0.4999979691	1	0.4999979691
15	0.4106871153	0.4999979691	1	0.4999979691
16	0.4031209282	0.4999979691	1	0.4999979691
17	0.3958893124	0.4999979691	1	0.4999979691
18	0.3889732924	0.4999979691	1	0.4999979691
19	0.3823179576	0.4999979691	1	0.4999979691
20	0.3759734771	0.4999979691	1	0.4999979691
21	0.3698996912	0.4999979691	1	0.4999979691
22	0.3640685591	0.4999979691	1	0.4999979691
23	0.3585171079	0.4999979691	1	0.4999979691
24	0.3532015796	0.4999979691	1	0.4999979691
25	0.3481305009	0.4999979691	1	0.4999979691
26	0.3432690754	0.4999979691	1	0.4999979691
27	0.3386187598	0.4999979691	1	0.4999979691
28	0.3341700564	0.4999979691	1	0.4999979691
29	0.3299330126	0.4999979691	1	0.4999979691
30	0.3258919451	0.4999979691	1	0.4999979691
31	0.3220495973	0.4999979691	1	0.4999979691
32	0.3184184893	0.4999979691	1	0.4999979691
33	0.3149340098	0.4999979691	1	0.4999979691
34	0.311610287	0.4999979691	1	0.4999979691
35	0.3084552888	0.4999979691	1	0.4999979691
36	0.305466559	0.4999979691	1	0.4999979691
37	0.3026051651	0.4999979691	1	0.4999979691
38	0.2999305794	0.4999979691	1	0.4999979691
39	0.2973549105	0.4999979691	1	0.4999979691
40	0.2948959109	0.4999979691	1	0.4999979691
41	0.2926139196	0.4999979691	1	0.4999979691
42	0.2904281661	0.4999979691	1	0.4999979691
43	0.2883331453	0.4999979691	1	0.4999979691
44	0.2863666936	0.4999979691	1	0.4999979691
45	0.2845021013	0.4999979691	1	0.4999979691
46	0.2827064231	0.4999979691	1	0.4999979691
47	0.2810342844	0.4999979691	1	0.4999979691
48	0.2794318999	0.4999979691	1	0.4999979691
49	0.277917222	0.4999979691	1	0.4999979691
50	0.2764889071	0.4999979691	1	0.4999979691
51	0.2751210917	0.4999979691	1	0.4999979691
52	0.2738275529	0.4999979691	1	0.4999979691
53	0.2726328387	0.4999979691	1	0.4999979691
54	0.2714754257	0.4999979691	1	0.4999979691
55	0.2703754273	0.4999979691	1	0.4999979691
56	0.269358066	0.4999979691	1	0.4999979691
57	0.2683726436	0.4999979691	1	0.4999979691
58	0.2674586658	0.4999979691	1	0.4999979691
59	0.2665910783	0.4999979691	1	0.4999979691
60	0.2657579936	0.4999979691	1	0.4999979691
61	0.2649684804	0.4999979691	1	0.4999979691
62	0.2642336357	0.4999979691	1	0.4999979691
63	0.2635395019	0.4999979691	1	0.4999979691
64	0.2628836015	0.4999979691	1	0.4999979691
65	0.2622566248	0.4999979691	1	0.4999979691
66	0.2616690722	0.4999979691	1	0.4999979691
67	0.2611078429	0.4999979691	1	0.4999979691
68	0.2605725083	0.4999979691	1	0.4999979691
69	0.2600742099	0.4999979691	1	0.4999979691
70	0.259604982	0.4999979691	1	0.4999979691
71	0.2591517502	0.4999979691	1	0.4999979691
72	0.2587223862	0.4999979691	1	0.4999979691
73	0.2583221432	0.4999979691	1	0.4999979691
74	0.2579457522	0.4999979691	1	0.4999979691
75	0.2575859306	0.4999979691	1	0.4999979691
76	0.2572491823	0.4999979691	1	0.4999979691
77	0.2569365091	0.4999979691	1	0.4999979691
78	0.2566333151	0.4999979691	1	0.4999979691
79	0.2563493066	0.4999979691	1	0.4999979691
80	0.2560843884	0.4999979691	1	0.4999979691
81	0.2558261436	0.4999979691	1	0.4999979691
82	0.2555786138	0.4999979691	1	0.4999979691
83	0.2553460544	0.4999979691	1	0.4999979691
84	0.2551273363	0.4999979691	1	0.4999979691
85	0.2549224155	0.4999979691	1	0.4999979691
86	0.2547217109	0.4999979691	1	0.4999979691
87	0.2545353871	0.4999979691	1	0.4999979691
88	0.2543691566	0.4999979691	1	0.4999979691
89	0.2541975467	0.4999979691	1	0.4999979691
90	0.2540420439	0.4999979691	1	0.4999979691
91	0.2538933664	0.4999979691	1	0.4999979691
92	0.2537485585	0.4999979691	1	0.4999979691
93	0.253613271	0.4999979691	1	0.4999979691
94	0.253485298	0.4999979691	1	0.4999979691
95	0.2533595094	0.4999979691	1	0.4999979691
96	0.2532409717	0.4999979691	1	0.4999979691
97	0.2531391822	0.4999979691	1	0.4999979691
98	0.2530350996	0.4999979691	1	0.4999979691
99	0.2529435665	0.4999979691	1	0.4999979691
100	0.2528510075	0.4999979691	1	0.4999979691
101	0.2527577034	0.4999979691	1	0.4999979691
102	0.2526707684	0.4999979691	1	0.4999979691
103	0.252590867	0.4999979691	1	0.4999979691
104	0.2525148493	0.4999979691	1	0.4999979691
105	0.2524383787	0.4999979691	1	0.4999979691
106	0.2523677988	0.4999979691	1	0.4999979691
107	0.2523016762	0.4999979691	1	0.4999979691
108	0.2522411303	0.4999979691	1	0.4999979691
109	0.2521833272	0.4999979691	1	0.4999979691
110	0.2521282958	0.4999979691	1	0.4999979691
111	0.2520745171	0.4999979691	1	0.4999979691
112	0.2520236207	0.4999979691	1	0.4999979691
113	0.2519704256	0.4999979691	1	0.4999979691
114	0.2519168556	0.4999979691	1	0.4999979691
115	0.2518736979	0.4999979691	1	0.4999979691
116	0.2518265593	0.4999979691	1	0.4999979691
117	0.2517848815	0.4999979691	1	0.4999979691
118	0.251737605	0.4999979691	1	0.4999979691
119	0.2516939314	0.4999979691	1	0.4999979691
120	0.2516564503	0.4999979691	1	0.4999979691
121	0.2516224013	0.4999979691	1	0.4999979691
122	0.2515859612	0.4999979691	1	0.4999979691
123	0.2515588738	0.4999979691	1	0.4999979691
124	0.2515235843	0.4999979691	1	0.4999979691
125	0.2514924036	0.4999979691	1	0.4999979691
126	0.2514615832	0.4999979691	1	0.4999979691
127	0.2514320136	0.4999979691	1	0.4999979691
128	0.2514034255	0.4999979691	1	0.4999979691
129	0.2513735117	0.4999979691	1	0.4999979691
130	0.2513469547	0.4999979691	1	0.4999979691
131	0.2513202734	0.4999979691	1	0.4999979691
132	0.2512944127	0.4999979691	1	0.4999979691
133	0.2512704932	0.4999979691	1	0.4999979691
134	0.2512449513	0.4999979691	1	0.4999979691
135	0.2512225933	0.4999979691	1	0.4999979691
136	0.2511996392	0.4999979691	1	0.4999979691
137	0.2511764399	0.4999979691	1	0.4999979691
138	0.2511539002	0.4999979691	1	0.4999979691
139	0.2511312099	0.4999979691	1	0.4999979691
140	0.2511090985	0.4999979691	1	0.4999979691
141	0.2510902677	0.4999979691	1	0.4999979691
142	0.2510713005	0.4999979691	1	0.4999979691
143	0.2510510077	0.4999979691	1	0.4999979691
144	0.2510335238	0.4999979691	1	0.4999979691
145	0.2510182278	0.4999979691	1	0.4999979691
146	0.2510002011	0.4999979691	1	0.4999979691
147	0.2509811865	0.4999979691	1	0.4999979691
148	0.250964333	0.4999979691	1	0.4999979691
149	0.2509476135	0.4999979691	1	0.4999979691
150	0.2509304874	0.4999979691	1	0.4999979691
