iter	Passed	Remaining
0	142	70926
1	241	60129
2	341	56542
3	439	54456
4	536	53121
5	649	53487
6	762	53680
7	891	54816
8	1029	56152
9	1161	56915
10	1297	57697
11	1426	58011
12	1555	58268
13	1653	57411
14	1756	56808
15	1861	56306
16	1955	55569
17	2055	55029
18	2154	54539
19	2255	54129
20	2357	53764
21	2454	53339
22	2554	52981
23	2654	52645
24	2752	52301
25	2854	52032
26	2952	51722
27	3051	51437
28	3149	51155
29	3249	50912
30	3348	50661
31	3453	50508
32	3553	50282
33	3650	50033
34	3751	49839
35	3859	49738
36	3958	49536
37	4059	49351
38	4161	49192
39	4260	49001
40	4361	48828
41	4458	48621
42	4561	48478
43	4662	48323
44	4762	48153
45	4860	47972
46	4956	47771
47	5056	47619
48	5151	47417
49	5249	47249
50	5346	47071
51	5448	46942
52	5548	46798
53	5654	46703
54	5758	46590
55	5858	46448
56	5959	46319
57	6058	46169
58	6159	46038
59	6257	45891
60	6356	45746
61	6456	45613
62	6556	45482
63	6657	45353
64	6759	45238
65	6863	45133
66	6964	45006
67	7063	44876
68	7163	44743
69	7262	44611
70	7363	44489
71	7463	44366
72	7565	44254
73	7668	44147
74	7771	44037
75	7872	43917
76	7974	43805
77	8073	43678
78	8172	43550
79	8275	43444
80	8374	43320
81	8473	43194
82	8575	43083
83	8674	42961
84	8777	42855
85	8875	42727
86	8978	42622
87	9082	42524
88	9180	42394
89	9277	42264
90	9377	42146
91	9477	42032
92	9578	41918
93	9683	41824
94	9783	41708
95	9880	41579
96	9984	41482
97	10086	41373
98	10187	41266
99	10289	41156
100	10391	41050
101	10494	40950
102	10596	40844
103	10697	40734
104	10799	40625
105	10902	40526
106	11003	40414
107	11105	40308
108	11205	40197
109	11304	40078
110	11403	39963
111	11504	39853
112	11611	39765
113	11743	39762
114	11876	39761
115	11991	39695
116	12127	39699
117	12263	39700
118	12401	39706
119	12530	39681
120	12638	39587
121	12738	39467
122	12837	39347
123	12934	39221
124	13034	39102
125	13141	39006
126	13244	38899
127	13341	38772
128	13440	38653
129	13537	38531
130	13639	38419
131	13737	38297
132	13834	38174
133	13933	38056
134	14034	37943
135	14133	37826
136	14234	37716
137	14334	37601
138	14434	37487
139	14533	37370
140	14632	37256
141	14733	37144
142	14832	37029
143	14934	36921
144	15037	36815
145	15138	36705
146	15236	36589
147	15340	36484
148	15448	36393
149	15554	36294
150	15655	36183
151	15754	36069
152	15852	35953
153	15955	35848
154	16055	35735
155	16155	35624
156	16257	35517
157	16358	35407
158	16457	35296
159	16557	35184
160	16656	35071
161	16759	34966
162	16860	34858
163	16960	34748
164	17061	34639
165	17163	34533
166	17265	34426
167	17367	34322
168	17469	34214
169	17573	34112
170	17673	34003
171	17774	33895
172	17872	33782
173	17973	33675
174	18073	33564
175	18175	33458
176	18275	33349
177	18380	33249
178	18483	33145
179	18587	33045
180	18692	32943
181	18791	32832
182	18891	32724
183	18995	32622
184	19092	32508
185	19195	32406
186	19296	32298
187	19396	32190
188	19503	32093
189	19606	31989
190	19709	31885
191	19809	31777
192	19916	31680
193	20017	31573
194	20116	31464
195	20218	31358
196	20320	31254
197	20420	31146
198	20522	31041
199	20622	30933
200	20723	30828
201	20823	30719
202	20924	30613
203	21023	30504
204	21126	30401
205	21225	30292
206	21322	30181
207	21422	30073
208	21521	29964
209	21625	29864
210	21724	29755
211	21824	29648
212	21931	29550
213	22030	29443
214	22128	29333
215	22227	29225
216	22329	29120
217	22426	29010
218	22525	28902
219	22658	28838
220	22788	28769
221	22916	28696
222	23053	28635
223	23192	28576
224	23321	28504
225	23447	28427
226	23567	28343
227	23666	28234
228	23770	28130
229	23867	28017
230	23968	27911
231	24074	27810
232	24172	27699
233	24273	27592
234	24372	27483
235	24469	27372
236	24570	27265
237	24670	27158
238	24775	27055
239	24875	26948
240	24975	26840
241	25075	26733
242	25179	26630
243	25273	26516
244	25374	26409
245	25474	26303
246	25574	26195
247	25676	26090
248	25775	25982
249	25876	25876
250	25979	25772
251	26080	25666
252	26188	25567
253	26289	25461
254	26390	25355
255	26488	25246
256	26589	25140
257	26685	25030
258	26789	24928
259	26888	24819
260	26982	24707
261	27080	24599
262	27181	24494
263	27281	24387
264	27384	24284
265	27484	24177
266	27584	24071
267	27684	23965
268	27783	23858
269	27880	23750
270	27982	23645
271	28084	23541
272	28189	23439
273	28298	23340
274	28400	23237
275	28502	23132
276	28601	23025
277	28699	22918
278	28798	22811
279	28898	22706
280	28998	22599
281	29098	22494
282	29203	22392
283	29306	22289
284	29405	22182
285	29505	22077
286	29607	21973
287	29708	21868
288	29808	21763
