eval_period,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all,all
model,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
top_n,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000,10,20,30,40,50,100,1000
0,-0.1499832162967056,-0.16162216522273676,-0.13711807796131067,-0.10662277274598224,-0.0943733034184515,-0.09276472186895025,-0.04895530483412814,-0.13930214499829432,-0.15798526742330687,-0.09799780174288857,-0.06719425296119652,-0.07541924335634068,-0.03950854172610807,-0.029671721139916323,-0.00017914942339744279,0.031016881690740405,0.025076630229454208,0.020738011418171304,0.009285060685452182,0.00518100978955327,-0.02532231615148081,-0.20811177791659702,-0.10643596276479961,-0.08073640656290136,-0.06943654451191186,-0.08896422469425203,-0.06946877940857432,-0.042149093769848,0.03288644648600288,-0.08560271234619914,-0.06340979009773888,-0.029333648171089976,-0.04479550539813308,-0.0442432262909784,-0.06868601993578066,-0.22133973838620555,-0.24443601186866926,-0.1859488096892982,-0.18431618654317325,-0.18553966493252172,-0.11375953792281779,-0.14539437078137454
1,0.08769227458654036,0.053032234650896626,0.0056739232401532115,0.04197518971519197,-0.014288272151271257,0.003505418418246363,-0.048395991454837466,-0.009214428408297023,-0.02002367921987875,-0.03950571180002563,-0.023688025766309108,-0.025627542501630556,-0.003211007279948845,-0.017180069273133074,0.05488733075420008,0.030442921256254835,0.005531527791641473,-0.018059593447246218,-0.018531967737049484,-0.04124778455571487,-0.014453761136128927,-0.18850115407902457,-0.19664011437659293,-0.21913588567407533,-0.20386275970879364,-0.1855490719821322,-0.15653753714508656,-0.0599019380418919,0.021166534656951775,-0.07583090666508109,-0.025521645922462467,-0.007707482342242254,-0.004642580761735055,-0.07586045630546999,-0.06278867414273717,-0.1548477736672465,-0.03585048107938173,-0.0906153699761635,-0.05656117012969022,-0.0749872289639985,-0.054255230602108295,-0.09697959666603888
2,-0.10565060691751034,-0.015443995106864849,-0.011550059743862497,-0.04280938483990145,-0.03926012234262695,-0.03254237087200298,-0.03396442439264229,-0.13984122980048969,-0.13256246876156566,-0.07999685749153367,-0.06356827762776865,-0.04538579866711998,-0.019413072544034557,-0.023953454999639964,-0.030492785055725398,-0.11794783805164052,-0.13389893598299557,-0.11798427771705462,-0.09144060651305314,-0.04688145927739382,-0.022342432081647542,-0.023935418869184166,-0.041654815915148996,-0.013546303423548556,9.455951042909583e-05,-0.01682642457407605,-0.05309138812735156,-0.040871534359948426,-0.1793882261724241,-0.1449181239812346,-0.097155262803406,-0.09340536294126904,-0.06396228336147898,-0.016453520093158404,-0.054477475420693394,-0.19658280238308262,-0.2931435684782018,-0.21023170946334224,-0.17428746907014103,-0.16389124178169098,-0.11512168847701754,-0.10466459546555558
3,-0.10674015164137243,-0.1546756892007293,-0.07811277732635079,-0.05302981565563232,-0.046855773749297065,-0.07357276396994673,-0.06161593056775845,0.011682929373751299,0.016275908148298622,-0.03374564269764897,-0.018099613608410503,-0.011300979333865223,-0.0067215332751837335,-0.012927731121427465,-0.11948037715229227,-0.07075540943781325,-0.038630540845589686,-0.020536654546799947,-0.005235655237535206,-0.036840501329720665,-0.021542411503523474,-0.04588943307924348,0.02536017875296606,-0.002928403164277523,0.01577684276670705,0.01697318771279253,-0.008906690672191356,-0.051555084845911016,0.021879817192625006,-0.036648664266390164,-0.06588780874239855,-0.05255148407600142,-0.04166040306538266,-0.06233237299890638,-0.06233982917099149,0.03648507527123975,-0.0017237984816650565,-0.0632647191311829,-0.11061099874751038,-0.1458985550825971,-0.11337525171701976,-0.14187621268280756
4,0.12601453798019688,0.009065081869725452,0.038533034632125006,0.024587687595872983,0.0029501294251507147,-0.02679832604333777,-0.059354702153135964,0.043394643795884584,0.03624791380555288,0.026912216828349822,0.022909518722692337,0.0052454966276188255,-0.012139038014934718,-0.015359228240523496,0.05300883033842356,-0.03196759112972308,-0.012426218019567241,-0.04294229625282117,-0.028878964388785188,-0.0044165144371948895,-0.03498737019985766,-0.20211776838926263,-0.20414981964301843,-0.12200267995769319,-0.12317097044872723,-0.10447139517653711,-0.11144415698881913,-0.052646281487856494,-0.2813291681205853,-0.11368973574845502,-0.07089626907882722,-0.056749210660829885,-0.05482583650723916,-0.07024881838815282,-0.05515452204819584,-0.03776845755396353,-0.20230625025085097,-0.12094045358005362,-0.10060558940134486,-0.0728544844996667,-0.06814413897400076,-0.10110054685281156
5,0.0680165032052945,-0.045187452446953255,-0.05020472977366568,-0.07885835639464248,-0.0646545668023164,-0.08545094192462933,-0.054691162830937154,-0.06994092186790818,-0.06908318451191808,-0.10066088490743315,-0.08701808178164533,-0.0660094108687907,-0.03475228712466369,-0.01858286451191823,-0.04893040581598089,0.012756794672366947,0.02905128036429118,0.015956961591640745,0.017601023601361725,-0.013356736620056072,-0.027544270687372186,0.008303896013872814,-0.1096810381974795,-0.08288609222727068,-0.05491544192417739,-0.044656814846893406,-0.057392642912176786,-0.06088709943152221,-0.023430541377282798,-0.09961265676659745,-0.057098455830407555,-0.10270505841400883,-0.09991897532925142,-0.05678213972875559,-0.06547099553043392,-0.21597493953656985,-0.09252274289777669,-0.18074647029667795,-0.1922578831392273,-0.191986359366103,-0.17091957110032344,-0.1121927516359788
6,-0.1547982429256499,-0.08076543728203017,-0.15881860257797645,-0.16108395864013128,-0.1464729507676604,-0.0936049115948865,-0.038739349414037214,-0.0783865769604258,-0.029345414850847747,-0.04158036550747557,-0.04636115207372545,-0.04003996829795852,-0.01627917748252846,-0.010963051109715339,-0.20726666014649683,-0.18086664835007815,-0.11401722666922255,-0.0889522690520498,-0.08067518498514258,-0.08398380513858571,-0.027669758996937337,-0.13763952285241976,-0.04731217546848785,-0.06585767826234663,-0.05082427369222579,-0.03248055864947692,-0.04640441447896437,-0.04513815726376272,-0.02402656586409767,-0.0627941521474052,-0.013557745519983684,-0.07753330413760726,-0.064535278828203,-0.044433188120822927,-0.08302507423227162,-0.09069242161193596,-0.07183700254093354,-0.13269348974674114,-0.12391395597873074,-0.0868584024045922,-0.12478435115145939,-0.10225268991946569
7,-0.057789899175391846,-0.0026614142621234015,0.0057335941322676056,0.03779711780716254,0.05004176453397423,-0.006723987562492461,-0.04290344274571469,0.022612467224389508,0.02349899741825015,-0.00810819216486222,-0.021411648287840992,-0.010878291090136277,-0.030685414029493,-0.025614714713878352,-0.03622876764583922,-0.03251269510057432,-0.028028614616543098,-0.010252186837318706,-0.030102820142202447,-0.04269201629799782,-0.03655931186113595,-0.009966853521693098,0.014373936445713973,0.003581369090366497,0.01782042205735692,0.03625377225110557,-0.037510666894408594,-0.047107144614173806,-0.34922280726278776,-0.22120889293316073,-0.18180985584144335,-0.15028393378156674,-0.1184013474315924,-0.11094867312326928,-0.07522395559181679,-0.07072712382931076,-0.007512002874884438,-0.07809174394962262,-0.10755442371621311,-0.08882975650213001,-0.16436028414134468,-0.10224848482483744
