iter	Logloss
0	0.6781293198
1	0.664040873
2	0.6511929019
3	0.6391785919
4	0.6278156944
5	0.6172541784
6	0.6074901076
7	0.5984494814
8	0.5898587015
9	0.5819035561110	0.5745105497111	0.5675071883112	0.5611054761113	0.5551545412114	0.5494734776115	0.5441134307116	0.5390957106117	0.5345057616118	0.5301757377119	0.5261168844220	0.5223482304221	0.5188489452222	0.5155066332223	0.5124842124	24	0.5095766925	25	0.5068402626	26	0.5042846127	27	0.5019488228	28	0.4996774229	29	0.4975770330	30	0.495605033131	0.493747063332	0.49200858
33	0.4903888397
34	0.4888626061
35	0.4874039563336	0.4860242976337	0.4847675874338	0.483524797
39	0.4824228927
40	0.4813132104
41	0.4802637969
