iter	Passed	Remaining
0	53	93421
1	100	88185
2	147	85808
3	193	84578
4	239	83721
5	286	83138
6	335	83440
7	381	83124
8	427	82760
9	476	82954
10	522	82661
11	570	82671
12	619	82736
13	665	82503
14	711	82343
15	771	83560
16	828	84420
17	884	85102
18	941	85792
19	999	86426
20	1052	86634
21	1111	87267
22	1169	87784
23	1226	88240
24	1285	88684
25	1346	89258
26	1403	89594
27	1461	89902
28	1517	90059
29	1576	90364
30	1632	90542
31	1690	90760
32	1745	90817
33	1791	90398
34	1839	90117
35	1884	89724
36	1931	89428
37	1976	89064
38	2022	88715
39	2069	88464
40	2114	88158
41	2158	87789
42	2205	87533
43	2254	87396
44	2302	87255
45	2349	87044
46	2396	86852
47	2444	86670
48	2493	86570
49	2542	86436
50	2588	86236
51	2636	86076
52	2681	85868
53	2727	85667
54	2777	85595
55	2823	85422
56	2871	85283
57	2919	85157
58	2965	84980
59	3011	84822
60	3056	84641
61	3102	84460
62	3149	84327
63	3198	84250
64	3245	84142
65	3291	83992
66	3340	83911
67	3384	83728
68	3432	83629
69	3478	83482
70	3523	83332
71	3570	83200
72	3616	83073
73	3662	82947
74	3710	82859
75	3757	82758
76	3804	82663
77	3852	82578
78	3899	82483
79	3945	82368
80	3993	82284
81	4041	82202
82	4085	82064
83	4131	81934
84	4177	81823
85	4226	81778
86	4274	81698
87	4323	81653
88	4369	81547
89	4416	81466
90	4466	81430
91	4512	81330
92	4559	81242
93	4605	81130
94	4651	81027
95	4697	80927
96	4743	80841
97	4789	80729
98	4835	80641
99	4882	80568
100	4931	80508
101	4979	80451
102	5025	80363
103	5072	80274
104	5116	80159
105	5165	80115
106	5211	80023
107	5258	79944
108	5302	79835
109	5351	79779
110	5398	79720
111	5445	79647
112	5493	79579
113	5539	79493
114	5587	79432
115	5633	79356
116	5681	79292
117	5729	79239
118	5775	79156
119	5821	79076
120	5866	78976
121	5911	78887
122	5958	78815
123	6004	78738
124	6051	78673
125	6101	78637
126	6148	78581
127	6195	78514
128	6244	78470
129	6291	78404
130	6337	78327
131	6384	78257
132	6431	78188
133	6480	78155
134	6527	78094
135	6574	78024
136	6620	77947
137	6668	77891
138	6714	77817
139	6762	77766
140	6809	77709
141	6856	77641
142	6903	77582
143	6949	77509
144	6998	77465
145	7044	77396
146	7093	77352
147	7141	77299
148	7189	77256
149	7238	77205
150	7286	77160
151	7333	77094
152	7379	77029
153	7425	76956
154	7473	76903
155	7521	76852
156	7568	76789
157	7613	76718
158	7660	76651
159	7707	76590
160	7753	76519
161	7803	76493
162	7850	76434
163	7896	76365
164	7942	76294
165	7987	76217
166	8032	76142
167	8079	76077
168	8125	76015
169	8173	75963
170	8220	75906
171	8267	75852
172	8313	75786
173	8361	75731
174	8408	75672
175	8453	75605
176	8502	75560
177	8549	75503
178	8599	75473
179	8644	75403
180	8692	75352
181	8740	75300
182	8787	75244
183	8833	75177
184	8883	75153
185	8929	75087
186	8977	75036
187	9023	74975
188	9073	74941
189	9121	74890
190	9169	74847
191	9216	74789
192	9260	74710
193	9308	74656
194	9354	74598
195	9400	74533
196	9446	74468
197	9492	74404
198	9539	74353
199	9585	74291
200	9631	74223
201	9678	74168
202	9727	74129
203	9778	74104
204	9827	74068
205	9872	73998
206	9919	73941
207	9965	73877
208	10011	73814
209	10059	73773
210	10107	73723
211	10153	73660
212	10197	73588
213	10244	73528
214	10289	73460
215	10334	73391
216	10381	73338
217	10427	73278
218	10474	73222
219	10518	73148
220	10565	73098
221	10612	73048
222	10658	72984
223	10704	72924
224	10750	72865
225	10799	72825
226	10846	72774
227	10895	72730
228	10939	72661
229	10986	72606
230	11031	72542
231	11078	72488
232	11126	72438
233	11173	72387
234	11216	72309
235	11262	72248
236	11310	72207
237	11358	72161
238	11406	72111
239	11455	72073
240	11503	72030
241	11550	71975
242	11598	71931
243	11643	71865
244	11690	71815
245	11749	71832
246	11807	71847
247	11861	71839
248	11920	71860
249	11976	71858
250	12033	71864
251	12096	71904
252	12153	71910
253	12210	71917
254	12265	71912
255	12325	71929
256	12380	71925
257	12440	71940
258	12496	71939
259	12555	71951
260	12612	71955
261	12672	71969
262	12725	71952
263	12774	71904
264	12821	71846
265	12867	71789
266	12915	71738
267	12963	71684
268	13009	71627
269	13057	71571
270	13104	71517
271	13151	71461
272	13199	71410
273	13248	71368
274	13294	71307
275	13341	71249
276	13387	71188
277	13433	71131
278	13478	71065
279	13526	71013
280	13571	70950
281	13618	70892
282	13664	70834
283	13711	70780
284	13761	70737
285	13806	70674
286	13854	70623
287	13903	70581
288	13952	70536
289	14000	70487
290	14046	70425
291	14091	70363
292	14138	70307
293	14187	70261
294	14234	70208
295	14282	70156
296	14327	70094
297	14375	70046
298	14424	69999
299	14472	69948
300	14519	69897
301	14565	69839
302	14611	69780
303	14662	69742
304	14708	69685
305	14757	69640
306	14806	69593
307	14852	69535
308	14899	69480
309	14943	69416
310	14991	69366
311	15037	69306
312	15084	69255
