iter	MAE
0	0.1607872204
1	0.1545859167
2	0.1494488796
3	0.1448285607
4	0.1410136401
5	0.1376313115
6	0.134720417
7	0.1322914618
8	0.1301991921
9	0.1283624698
10	0.1268321454
11	0.1254709203
12	0.1243946452
13	0.1233604286
14	0.1225851752
15	0.1218114158
16	0.1212202105
17	0.1206609106
18	0.1202509844
19	0.1198232739
20	0.1194806601
21	0.1191500929
22	0.1188798728
23	0.1186089009
24	0.1183497092
25	0.1181329279
26	0.1179298203
27	0.1177724441
28	0.1176327571
29	0.117498865
30	0.1173568943
31	0.1172482467
32	0.1171575168
33	0.1170510483
34	0.1169837549
35	0.1169100481
36	0.1168432115
37	0.1167800574
38	0.1167330129
39	0.1166939424
40	0.1166255643
41	0.1165694611
42	0.1165136434
43	0.1164811481
44	0.1164395655
45	0.1164006473
46	0.1163563718
47	0.1163066916
48	0.1162751669
49	0.1162465634
50	0.1162008321
51	0.1161559191
52	0.1161236236
53	0.1160976178
54	0.1160704322
55	0.1160497455
56	0.1160182969
57	0.1160043282
58	0.1159785699
59	0.1159445331
60	0.1159254926
61	0.115909107
62	0.1158902949
63	0.1158714448
64	0.1158538792
65	0.1158356857
66	0.11582637
67	0.1158100034
68	0.1157927995
69	0.1157822278
70	0.1157702478
71	0.115746935
72	0.1157374766
73	0.1157152389
74	0.1157098151
75	0.1156935818
76	0.1156621522
77	0.1156598209
78	0.1156529698
79	0.1156401715
80	0.1156270021
81	0.115622073
82	0.1156076381
83	0.1156013103
84	0.115593717
85	0.1155860665
86	0.1155731636
87	0.1155595945
88	0.1155525055
89	0.1155465107
90	0.1155389935
91	0.1155283552
92	0.1155230742
93	0.1155136253
94	0.1155087439
95	0.1155033486
96	0.115495565
97	0.1154880573
98	0.1154728325
99	0.1154523838
100	0.1154428683
101	0.1154351989
102	0.1154223149
103	0.1154173859
104	0.1154104111
105	0.1153972892
106	0.115388535
107	0.1153723016
108	0.1153685335
109	0.1153655361
110	0.1153602931
111	0.115358685
112	0.1153559731
113	0.1153497881
114	0.1153469429
115	0.1153428513
116	0.1153373989
117	0.1153340304
118	0.115326399
119	0.1153231733
120	0.1153153801
121	0.1153077392
122	0.1153018206
123	0.1153012021
124	0.1153009547
125	0.1152994798
126	0.1153016874
127	0.1153009928
128	0.1153050178
129	0.1153019062
130	0.1153041424
131	0.1153030005
132	0.1153007644
133	0.1152997557
134	0.1152933233
135	0.1152870336
136	0.1152897645
137	0.1152766522
138	0.1152750346
139	0.1152715614
140	0.1152704386
141	0.1152680026
142	0.1152625788
143	0.1152573834
144	0.1152548713
145	0.1152506369
146	0.1152444519
147	0.1152388948
148	0.1152326908
149	0.1152307211
150	0.1152289512
151	0.1152259062
152	0.115222376
153	0.115218684
154	0.115215896
155	0.1152129652
156	0.1152094635
157	0.1152059618
158	0.1152030786
159	0.1151949429
160	0.1151889482
161	0.1151842
162	0.1151834578
163	0.1151750841
164	0.1151683757
165	0.115164817
166	0.1151600687
167	0.1151543119
168	0.1151492687
169	0.1151421702
170	0.11513746
171	0.1151320647
172	0.1151221401
173	0.1151189334
174	0.1151148798
175	0.1151112068
176	0.115107591
177	0.1151003782
178	0.1150987035
179	0.1150961153
180	0.1150918524
181	0.1150881223
182	0.1150835073
183	0.1150792349
184	0.115075914
185	0.1150724504
186	0.1150559791
187	0.115049756
188	0.1150481859
189	0.1150463019
190	0.1150413729
191	0.1150363392
192	0.1150346264
193	0.1150323712
194	0.1150292882
195	0.1150257104
196	0.1150208195
197	0.1150195063
198	0.1150177555
199	0.1150126076
200	0.1150096673
201	0.1150091059
202	0.1150061752
203	0.1150026354
204	0.1150013984
205	0.1149970974
206	0.1149902368
