iter	Passed	Remaining
0	34	34899
1	71	35862
2	96	31961
3	125	31127
4	145	29008
5	173	28785
6	200	28395
7	240	29796
8	269	29678
9	305	30234
10	330	29752
11	350	28853
12	388	29496
13	418	29466
14	452	29685
15	471	28989
16	504	29171
17	527	28767
18	554	28614
19	579	28396
20	603	28145
21	633	28178
22	663	28185
23	690	28080
24	721	28133
25	747	27994
26	775	27964
27	807	28021
28	841	28181
29	885	28622
30	903	28231
31	935	28297
32	959	28115
33	979	27837
34	1012	27917
35	1043	27955
36	1072	27922
37	1090	27610
38	1117	27534
39	1139	27354
40	1178	27572
41	1203	27443
42	1230	27392
43	1257	27313
44	1282	27221
45	1310	27177
46	1334	27063
47	1369	27164
48	1401	27203
49	1436	27289
50	1454	27074
51	1488	27133
52	1513	27044
53	1532	26846
54	1565	26893
55	1604	27051
56	1632	27006
57	1657	26922
58	1690	26964
59	1709	26777
60	1735	26722
61	1768	26762
62	1798	26746
63	1832	26795
64	1862	26791
65	1893	26800
66	1920	26739
67	1951	26750
68	1979	26712
69	2004	26635
70	2043	26744
71	2063	26591
72	2098	26650
73	2129	26649
74	2164	26699
75	2199	26744
76	2219	26604
77	2256	26678
78	2280	26589
79	2312	26596
80	2339	26544
81	2381	26664
82	2405	26577
83	2446	26674
84	2486	26764
85	2513	26709
86	2545	26716
87	2564	26580
88	2604	26662
89	2625	26546
90	2660	26573
91	2698	26636
92	2725	26584
93	2745	26461
94	2766	26351
95	2815	26517
96	2848	26516
97	2876	26478
98	2910	26487
99	2934	26413
100	2958	26333
101	2991	26340
102	3016	26266
103	3042	26212
104	3068	26158
105	3092	26081
106	3121	26048
107	3148	26000
108	3191	26084
109	3236	26186
110	3263	26141
111	3285	26053
112	3304	25940
113	3332	25899
114	3373	25960
115	3413	26011
116	3452	26059
117	3481	26023
118	3507	25964
119	3528	25877
120	3559	25857
121	3593	25862
122	3624	25846
123	3652	25806
124	3706	25948
125	3740	25944
126	3780	25989
127	3798	25879
128	3839	25921
129	3875	25937
130	3903	25891
131	3937	25889
132	3963	25837
133	4007	25899
134	4037	25866
135	4077	25904
136	4133	26035
137	4152	25940
138	4175	25862
139	4208	25854
140	4239	25828
141	4275	25834
142	4298	25761
143	4331	25751
144	4365	25739
145	4386	25659
146	4411	25597
147	4431	25508
148	4483	25604
149	4518	25602
150	4561	25647
151	4588	25597
152	4622	25591
153	4654	25570
154	4693	25586
155	4725	25563
156	4764	25582
157	4797	25567
158	4837	25585
159	4863	25533
160	4907	25572
161	4936	25537
162	4970	25520
163	5001	25494
164	5036	25485
165	5058	25414
166	5086	25372
167	5114	25327
168	5159	25370
169	5184	25314
170	5205	25237
171	5231	25183
172	5269	25190
173	5297	25150
174	5320	25081
175	5349	25044
176	5390	25063
177	5418	25024
178	5466	25073
179	5492	25020
180	5530	25025
181	5566	25017
182	5601	25006
183	5643	25025
184	5679	25021
185	5712	24998
186	5731	24916
187	5781	24973
188	5811	24936
189	5843	24910
190	5887	24935
191	5907	24859
192	5940	24840
193	5972	24813
194	6011	24816
195	6052	24827
196	6079	24780
197	6113	24761
198	6149	24753
199	6182	24731
200	6214	24703
201	6255	24710
202	6291	24702
203	6311	24628
204	6351	24629
205	6380	24592
206	6412	24567
