iter	Logloss	Accuracy
0	0.6379119952	0.8220035995
1	0.5946302516	0.821992558
2	0.5604513656	0.822703633833	0.5340368479	0.822926673144	0.5127470477	0.823068004955	0.4958520773	0.823043713566	0.4826597636	0.823193878677	0.4720546921	0.822840549
8	0.4635909478	0.822933298
9	0.4568214701	0.8230194221
10	0.4510747285	0.8229001734
11	0.446576633	0.8230481301
12	0.4427380639	0.8229531728
13	0.4398310845	0.8230326719
14	0.4373836873	0.8229885057
15	0.4351341999	0.8230635883
16	0.4333114551	0.8231563373117	0.4318196412	0.8231695872118	0.4305440033	0.8232490863119	0.4295325764	0.8232844193220	0.428629429	0.8234080846
21	0.4278468344	0.8234080842222	0.4272057555	0.823496417223	0.4266390158	0.82368854
24	0.4261688266	0.8236465821
25	0.4257675126	0.8236090408226	0.4253108068	0.8236576236227	0.4249292469	0.8236554153228	0.4246646319	0.8237437477229	0.4244315135	0.8237437477330	0.4241671341	0.8237636225331	0.4239081351	0.8238011633232	0.4236864437	0.8238872873333	0.4234805532	0.823902746334	0.4232170213	0.8239623704335	0.4230041986	0.8239557455336	0.4228503568	0.8239712033737	0.4226845829	0.824072738	038	0.4225312739	0.824134639	039	0.4223938051	0.824110340	040	0.4222419177	0.824147841	041	0.4221256092	0.824209742	042	0.4219742303	0.824196443	043	0.4218387812	0.824253844	044	0.4217458851	0.824249445	045	0.4216458618	0.82428646	046	0.4215175693	0.824370947	047	0.421425819	0.82439048	0.48	0.42134846	0.8244216949	49	0.4212448417	0.8244923650	50	0.4211394081	0.824565235151	0.421055822	0.8246646129552	0.4209472449	0.8246646129553	0.4208537124	0.8247154041554	0.4207639179	0.824750737
55	0.420698211	0.8247396955
56	0.4206193706	0.8247816534
57	0.4205413641	0.8247993198
58	0.4204608879	0.8248081531
59	0.4203789657	0.8248302362
60	0.4203109776	0.8248611525
61	0.4202427372	0.8248898605
62	0.4201806344	0.8248633608
63	0.4201184278	0.8248766107
64	0.4200477084	0.8249119436
65	0.4199517348	0.8249406517
66	0.4198759001	0.8249958594667	0.4198041363	0.8249936511668	0.419734886	0.8249759846
69	0.4196665078	0.8249826096
70	0.4196207386	0.8249958594
71	0.4195580348	0.824971568
72	0.4194935454	0.8250179425
73	0.4194343314	0.8250311924
74	0.4193694571	0.8250797752
75	0.4193288736	0.8250466505
76	0.4192668315	0.825064317
77	0.4192010234	0.8250952334
78	0.4191361909	0.8250841918
79	0.4190724315	0.8250797752
80	0.4189997647	0.8251084832
81	0.4189627708	0.8250886084
82	0.4189020983	0.825163691
83	0.4188446082	0.8251857741
84	0.4187865144	0.8252122738
85	0.4187193909	0.8252188987
86	0.4186678177	0.8252387735
87	0.4186138083	0.8252431901
88	0.4185607598	0.8252321486
89	0.4185215867	0.8252652732
90	0.4184809112	0.8252961896
91	0.4184278121	0.8253226893
92	0.4183682438	0.8253315225
93	0.4183181613	0.8253182727
94	0.4182847639	0.8253293142
95	0.4182368299	0.8253359391
96	0.4181807455	0.8253094394
97	0.4181253263	0.8253337308
98	0.4180757867	0.8253226893
99	0.4180327791	0.8253293142
100	0.4179816187	0.8253536056
101	0.4179160224	0.8253823136
102	0.4178836539	0.82539335521103	0.4178433544	0.82540218841104	0.4178040888	0.82542647981105	0.4177643072	0.82542868821106	0.4177479813	0.82542868821107	0.4177234798	0.82543531311108	0.417689641	0.8253977718
109	0.4176300003	0.8254485629
110	0.4175702636	0.82545739621111	0.4175323672	0.82541102171112	0.4174897637	0.82541764661113	0.4174599219	0.825441938
114	0.4174215103	0.8254485629
115	0.4173946404	0.8254463546
116	0.417351812	0.8254794793
117	0.4173045742	0.825477271
118	0.4172667871	0.8255170205
119	0.4172320132	0.825505979
120	0.4171924563	0.8254927291
121	0.4171485159	0.8255037707
122	0.4171117714	0.82555014521123	0.4170794788	0.82560093631124	0.4170366054	0.82559651912125	0.4170081052	0.8256428126	126	0.4169777758	0.8256583127	127	0.4169425501	0.8256451128	128	0.4169040077	0.8256649129	129	0.4168704041	0.8257223130	130	0.4168426622	0.8257599131	131	0.4168080125	0.8257731132	132	0.4167746976	0.8257996133	133	0.4167469111	0.8257974134	134	0.4167172575	0.8257974135	135	0.4166887897	0.8257864136	136	0.416669033	0.8257908513137	0.4166440313	0.82583060138138	0.4166168277	0.82583280139139	0.4165675439	0.82581735140140	0.416531793	0.82582618141141	0.4165058074	0.82584164142142	0.4164844739	0.82585047143143	0.4164421864	0.82586372144144	0.416405472	0.82586593145145	0.4163857926	0.82587255146146	0.4163628303	0.82585268147147	0.4163305052	0.82586593148148	0.4162905088	0.82587255149149	0.4162709385	0.8258813150	150	0.416239315	0.82589022151151	0.4162107727	0.82592114152152	0.4161893429	0.82591672153153	0.4161550279	0.82593439154154	0.4161218362	0.82595868155155	0.4160830322	0.82594984156156	0.4160511115	0.82595868157157	0.4160153494	0.82597855158158	0.4159925961	0.82598739159159	0.4159700376	0.8260050516160	0.4159451534	0.82602051161161	0.4159112505	0.82605363162162	0.4158814932	0.82607793163163	0.4158483751	0.82605584164164	0.4158087312	0.82603376165165	0.4157672638	0.82605143166166	0.4157380266	0.82606468167167	0.4156970091	0.82608455168168	0.4156770036	0.8261044316169	0.4156394873	0.82611768017170	0.4156246138	0.82610884717171	0.4155976475	0.8261684721172	0.4155709229	0.82615743041173	0.4155424632	0.82618172181174	0.4154974242	0.82619718
175	0.415474104	0.8261883467
176	0.4154497306	0.82619718
177	0.4154190561	0.8262325129
178	0.4153870824	0.8262369296
179	0.4153595804	0.8262634293
180	0.4153352403	0.8263098038
181	0.415315821	0.8263098038
182	0.4152884292	0.8262943456
183	0.415265871	0.8262722625
184	0.4152397624	0.8262810958
185	0.4152202101	0.8262788875
186	0.4151914532	0.8263164287
187	0.415167925	0.8263208453
188	0.4151445181	0.8263385118
189	0.4151219309	0.826318637
190	0.4151042669	0.8263363035
191	0.4150774272	0.8263628032
192	0.4150548645	0.8263760531
193	0.4150306382	0.8263959279
194	0.4149974998	0.8263937196
195	0.4149652869	0.8264268442
196	0.4149482403	0.8264158027
197	0.4149279038	0.8264069694
198	0.414904495	0.8264312608
199	0.4148760624	0.82644451072200	0.414843101	0.8264776353
201	0.4148251659	0.8264798437
202	0.4148064488	0.826475427
203	0.4147771527	0.8264688021
204	0.4147465103	0.8264953018
205	0.4147236842	0.8265041351
206	0.4147066602	0.82653505142207	0.4146760647	0.82655271720208	0.4146633358	0.82652842622209	0.4146477548	0.82655050922210	0.4146294274	0.8265394682211	0.4145994672	0.82659467522212	0.4145731746	0.82659688212213	0.414541013	0.8266035092214	0.4145077147	0.826574801
215	0.4144872599	0.8266145506
216	0.4144624161	0.8266057173
217	0.4144403652	0.8266211755
218	0.4144158464	0.8266476752
219	0.4143866567	0.82666755
220	0.4143626393	0.8266631334
221	0.4143453716	0.8266432586
222	0.4143334224	0.8266498835
223	0.4142961516	0.8266631334
224	0.4142725594	0.8266653417
225	0.4142578665	0.82666755
226	0.4142339245	0.8266940497
227	0.4142168976	0.8266807998
228	0.4141898321	0.8267117162
229	0.4141628544	0.8267117162
230	0.4141311314	0.8267028829
231	0.414110164	0.8267227577
232	0.4141040913	0.8267470491
233	0.4140829831	0.8267404242
234	0.4140680721	0.8267448408
235	0.4140555922	0.826760299
236	0.414024937	0.8267580907
237	0.4140099897	0.8267735489
238	0.4139780614	0.8268486314
239	0.4139509751	0.8268596729
240	0.4139378844	0.8268375899
241	0.4139229443	0.8268662979
242	0.413893126	0.8268972142
243	0.4138858186	0.8269038391
244	0.4138646667	0.826881756
245	0.4138553992	0.8269038391
246	0.4138409408	0.826917089
247	0.4138183267	0.8268972142
248	0.413788175	0.8269038391
249	0.4137629892	0.8269148807
250	0.4137374588	0.8269215056
251	0.4137125134	0.8269347555
252	0.4136810611	0.826917089
253	0.4136538039	0.8269391721
254	0.4136212491	0.826945797
255	0.4135997639	0.8269413804
256	0.4135668673	0.8269568386
257	0.413534811	0.8269568386
258	0.4135225803	0.8269568386
259	0.4134986153	0.82698113
260	0.4134631276	0.8269745051
261	0.4134462709	0.8269987965
262	0.4134122497	0.8269745051
263	0.4133956759	0.8270208796
264	0.413369775	0.827045171
265	0.4133552603	0.8270606291
266	0.4133328961	0.8270672541
267	0.4133138564	0.8270650458
268	0.4132862285	0.8270760873
269	0.4132716978	0.8270827122
270	0.413255022	0.8270760873
271	0.4132437459	0.8270628375
272	0.413240234	0.8270805039
273	0.4132083575	0.8271268784
274	0.4131919837	0.8271290868
275	0.4131809758	0.8271511699
276	0.4131531011	0.8271511699
277	0.4131320372	0.827173253
278	0.4131220114	0.827173253
279	0.4131038966	0.827166628
280	0.4130889946	0.8271644197
281	0.4130725005	0.8271776696
282	0.4130524499	0.8271776696
283	0.4130316403	0.8271688363
284	0.413017725	0.8271865028
285	0.4129896333	0.8271997527
286	0.4129727338	0.827195336
287	0.4129435017	0.8272085859
288	0.4129252195	0.8272240441
289	0.4128989693	0.8272328773
290	0.412882134	0.8272328773
291	0.4128517058	0.8272395022
292	0.4128318902	0.8272372939
293	0.4128180877	0.8272218358
294	0.412793751	0.8272527521
295	0.412765238	0.8272748352
296	0.4127526507	0.8273190014
297	0.4127285883	0.8273145848
298	0.4127139792	0.8272880851
299	0.4126856348	0.8273035432
300	0.4126731795	0.8273167931
301	0.4126518494	0.8273145848
302	0.4126373927	0.8273013349
303	0.4126299536	0.827323418
304	0.41261998	0.8273256263
305	0.4125924416	0.8273278346
306	0.4125552994	0.8273565427
307	0.4125423746	0.8273410845
308	0.4125308931	0.8273366679
309	0.4125125314	0.8273742091
310	0.4124847593	0.8274073338
311	0.4124596533	0.8274029172
312	0.4124442074	0.8274051255
313	0.4124175157	0.8273985006
314	0.4124013323	0.8274316252
315	0.4123785806	0.8274448751
316	0.4123516673	0.8274647499
317	0.412328042	0.8274890413
318	0.4122963657	0.827515541
319	0.412273439	0.8275089161
320	0.412257382	0.8274978745
321	0.412243417	0.8275133327
322	0.4122059437	0.8274934579
323	0.4121862323	0.8275420407
324	0.4121706595	0.8275420407
325	0.4121603961	0.8275597072
326	0.4121456868	0.8275773737
327	0.4121246056	0.8275685404
328	0.4121052393	0.8275862069
329	0.41208971	0.8276215399
330	0.4120762104	0.8276414146
331	0.4120487445	0.8276325814
332	0.412037098	0.8276524562
333	0.4120153674	0.8276480396
334	0.4119902009	0.8276480396
335	0.4119730355	0.8276502479
336	0.4119605488	0.8276524562
337	0.4119363832	0.8276877892
338	0.4119183814	0.8276988307
339	0.4119028759	0.8276944141
340	0.4118876071	0.8276922058
341	0.4118648756	0.8277054556
342	0.4118533796	0.8277164972
343	0.411842176	0.8277275387
344	0.4118295235	0.8277187055
345	0.4118220752	0.8277098722
346	0.411813023	0.8277032473
347	0.4117926791	0.8277253304
348	0.4117671863	0.8277385803
349	0.4117461018	0.8277562468
350	0.4117419306	0.8277540384
351	0.411724154	0.8277496218
352	0.4117060109	0.8277319553
353	0.4116918157	0.8277540384
354	0.4116728642	0.8277474135
355	0.4116612563	0.8277429969
356	0.4116464017	0.8277694966
357	0.4116334183	0.8277761215
358	0.4116169529	0.8277429969
359	0.4115985794	0.8277518301
360	0.4115866691	0.8277805382
361	0.4115576069	0.8277606634
362	0.4115337901	0.8277915797
363	0.4115079326	0.827800413
364	0.4114843929	0.8278335376
365	0.4114711143	0.827857829
366	0.4114537743	0.8278644539
367	0.41144075	0.8278887453
